Common Name,Designation,URL
Asterope,HR 1151,https://en.wikipedia.org/wiki/21_Tauri
Axólotl,HD 224693,https://en.wikipedia.org/wiki/HD_224693
Ayeyarwady,HD 18742,https://en.wikipedia.org/wiki/HD_18742
Azelfafage,HR 8301,https://en.wikipedia.org/wiki/Pi1_Cygni
Baekdu,HD 133086,https://en.wikipedia.org/wiki/8_Ursae_Minoris
Barnard's Star,GJ 699,https://en.wikipedia.org/wiki/Barnard%27s_Star
Batsũ̀,LHS 3844,https://en.wikipedia.org/wiki/LHS_3844
Beemim,HR 1393,https://en.wikipedia.org/wiki/Upsilon3_Eridani
Beid,HR 1298,https://en.wikipedia.org/wiki/Omicron1_Eridani
Belel,HD 181342,https://en.wikipedia.org/wiki/HD_181342
Bélénos,HD 8574,https://en.wikipedia.org/wiki/HD_8574
Berehynia,HAT-P-15,https://en.wikipedia.org/wiki/HAT-P-15
Bibhā,HD 86081,https://en.wikipedia.org/wiki/HD_86081
Bosona,HD 206610,https://en.wikipedia.org/wiki/HD_206610
Botein,HR 951,https://en.wikipedia.org/wiki/Delta_Arietis
Bubup,HD 38283,https://en.wikipedia.org/wiki/HD_38283
Buna,HD 16175,https://en.wikipedia.org/wiki/HD_16175
Castula,HR 265,https://en.wikipedia.org/wiki/Upsilon2_Cassiopeiae
Ceibo,HD 63454,https://en.wikipedia.org/wiki/HD_63454
Celaeno,HR 1140,https://en.wikipedia.org/wiki/Celaeno_(star)
Cervantes,HR 6585,https://en.wikipedia.org/wiki/Mu_Arae
Chalawan,HR 4277,https://en.wikipedia.org/wiki/47_Ursae_Majoris
Chaophraya,WASP-50,https://en.wikipedia.org/wiki/WASP-50
Chara,HR 4785,https://en.wikipedia.org/wiki/Beta_Canum_Venaticorum
Chasoň,HAT-P-5,https://en.wikipedia.org/wiki/HAT-P-5
Chechia,HD 192699,https://en.wikipedia.org/wiki/HD_192699
Citadelle,HD 1502,https://en.wikipedia.org/wiki/HD_1502
Citalá,HD 52265,https://en.wikipedia.org/wiki/HD_52265
Cocibolca,HD 4208,https://en.wikipedia.org/wiki/HD_4208
Copernicus,HR 3522,https://en.wikipedia.org/wiki/55_Cancri
Cujam,HR 6117,https://en.wikipedia.org/wiki/Omega_Herculis
Dajiangjunbei,HR 496,https://en.wikipedia.org/wiki/Phi_Persei
Danfeng,L 168-9,https://en.wikipedia.org/wiki/L_168-9
Deltoton,HR 660,https://en.wikipedia.org/wiki/Delta_Trianguli
Diadem,HR 4968,https://en.wikipedia.org/wiki/Alpha_Comae_Berenices
Dilmun,WASP-121,https://en.wikipedia.org/wiki/WASP-121
Dingolay,HD 96063,https://en.wikipedia.org/wiki/HD_96063
Dìwö,WASP-17,https://en.wikipedia.org/wiki/WASP-17
Diya,WASP-72,https://en.wikipedia.org/wiki/WASP-72
Dofida,HD 117618,https://en.wikipedia.org/wiki/HD_117618
Dombay,HAT-P-3,https://en.wikipedia.org/wiki/HAT-P-3
Dziban,HR 6636,https://en.wikipedia.org/wiki/Psi1_Draconis
Ebla,HD 218566,https://en.wikipedia.org/wiki/HD_218566
Elgafar,HR 5409,https://en.wikipedia.org/wiki/Phi_Virginis
Elkurud,HR 2177,https://en.wikipedia.org/wiki/Theta_Columbae
Emiw,HD 7199,https://en.wikipedia.org/wiki/HD_7199
Fafnir,HR 6945,https://en.wikipedia.org/wiki/42_Draconis
Felis,HR 3923,https://en.wikipedia.org/wiki/HD_85951
Felixvarela,BD-17 63,https://en.wikipedia.org/wiki/BD%E2%88%9217_63
Flegetonte,HD 102195,https://en.wikipedia.org/wiki/HD_102195
Formosa,HD 100655,https://en.wikipedia.org/wiki/HD_100655
Fumalsamakah,HR 8773,https://en.wikipedia.org/wiki/Beta_Piscium
Gakyid,HD 73534,https://en.wikipedia.org/wiki/HD_73534
Gar,GJ 486,https://en.wikipedia.org/wiki/Gliese_486
Garnet Star,HR 8316,https://en.wikipedia.org/wiki/Mu_Cephei
Gloas,WASP-13,https://en.wikipedia.org/wiki/WASP-13
Gnomon,WASP-43,https://en.wikipedia.org/wiki/WASP-43
Guahayona,HAT-P-26,https://en.wikipedia.org/wiki/HAT-P-26
Gudja,HR 5879,https://en.wikipedia.org/wiki/Kappa_Serpentis
Gumala,HD 179949,https://en.wikipedia.org/wiki/HD_179949
Helvetios,HR 8729,https://en.wikipedia.org/wiki/51_Pegasi
Hoerikwaggo,HR 2261,https://en.wikipedia.org/wiki/Alpha_Mensae
Honores,HR 8830,https://en.wikipedia.org/wiki/7_Andromedae
Horna,HAT-P-38,https://en.wikipedia.org/wiki/HAT-P-38
Hunahpú,HD 98219,https://en.wikipedia.org/wiki/HD_98219
Hunor,HAT-P-2,https://en.wikipedia.org/wiki/HD_147506
Hydor,HR 9098,https://en.wikipedia.org/wiki/2_Ceti
Illyrian,HD 82886,https://en.wikipedia.org/wiki/HD_82886
Inquill,HD 156411,https://en.wikipedia.org/wiki/HD_156411
Intan,HD 20868,https://en.wikipedia.org/wiki/HD_20868
Intercrus,HR 3743,https://en.wikipedia.org/wiki/41_Lyncis
Irena,WASP-38,https://en.wikipedia.org/wiki/HD_146389
Itonda,HD 208487,https://en.wikipedia.org/wiki/HD_208487
Izar,HR 5506,https://en.wikipedia.org/wiki/Epsilon_Bo%C3%B6tis
Jishui,HR 2930,https://en.wikipedia.org/wiki/Omicron_Geminorum
Junnanmen,HR 335,https://en.wikipedia.org/wiki/Phi_Andromedae
Kaewkosin,GJ 3470,https://en.wikipedia.org/wiki/GJ_3470
Kaffalmusalsala,HR 8976,https://en.wikipedia.org/wiki/Kappa_Andromedae
Kalausi,HD 83443,https://en.wikipedia.org/wiki/HD_83443
Kamuy,HD 145457,https://en.wikipedia.org/wiki/HD_145457
Kang,HR 5315,https://en.wikipedia.org/wiki/Kappa_Virginis
Karaka,HD 137388,https://en.wikipedia.org/wiki/HD_137388
Kaveh,HD 175541,https://en.wikipedia.org/wiki/HD_175541
Khambalia,HR 5359,https://en.wikipedia.org/wiki/Lambda_Virginis
Koeia,HIP 12961,https://en.wikipedia.org/wiki/HIP_12961
Koit,XO-4,https://en.wikipedia.org/wiki/XO-4
Komondor,HAT-P-12,https://en.wikipedia.org/wiki/HAT-P-12
Kosjenka,WASP-63,https://en.wikipedia.org/wiki/WASP-63
La Superba,HR 4846,https://en.wikipedia.org/wiki/La_Superba
Libertas,HR 7595,https://en.wikipedia.org/wiki/Xi_Aquilae
Liesma,HD 118203,https://en.wikipedia.org/wiki/HD_118203
Lilii Borea,HR 824,https://en.wikipedia.org/wiki/39_Arietis
Lionrock,HD 212771,https://en.wikipedia.org/wiki/HD_212771
Lucilinburhuc,HD 45350,https://en.wikipedia.org/wiki/HD_45350
Lusitânia,HD 45652,https://en.wikipedia.org/wiki/HD_45652
Maasym,HR 6526,https://en.wikipedia.org/wiki/Lambda_Herculis
Macondo,HD 93083,https://en.wikipedia.org/wiki/HD_93083
Mago,HD 32518,https://en.wikipedia.org/wiki/HD_32518
Marfik,HR 6149,https://en.wikipedia.org/wiki/Lambda_Ophiuchi
Márohu,WASP-6,https://en.wikipedia.org/wiki/WASP-6
Marsic,HR 6008,https://en.wikipedia.org/wiki/Kappa_Herculis
Maru,WD 0806-661,https://en.wikipedia.org/wiki/WD_0806%E2%88%92661
Mazaalai,HAT-P-21,https://en.wikipedia.org/wiki/HAT-P-21
Mekbuda,HR 2650,https://en.wikipedia.org/wiki/Zeta_Geminorum
Meleph,HR 3429,https://en.wikipedia.org/wiki/Epsilon_Cancri
Menkib,HR 1228,https://en.wikipedia.org/wiki/Xi_Persei
Merga,HR 5533,https://en.wikipedia.org/wiki/38_Bo%C3%B6tis
Meridiana,HR 7254,https://en.wikipedia.org/wiki/Alpha_Coronae_Australis
Merope,HR 1156,https://en.wikipedia.org/wiki/Merope_(star)
Mesarthim,HR 546,https://en.wikipedia.org/wiki/Gamma_Arietis
Minchir,HR 3418,https://en.wikipedia.org/wiki/Sigma_Hydrae
Mira,HR 681,https://en.wikipedia.org/wiki/Mira
Moldoveanu,XO-1,https://en.wikipedia.org/wiki/XO-1
